Number,Text,Caption
82,وَ قَالَ [عليه السلام] أُوصِيكُمْ بِخَمْسٍ لَوْ ضَرَبْتُمْ إِلَيْهَا آبَاطَ الْإِبِلِ لَكَانَتْ لِذَلِكَ أَهْلًا لَا يَرْجُوَنَّ أَحَدٌ مِنْكُمْ إِلَّا رَبَّهُ وَ لَا يَخَافَنَّ إِلَّا ذَنْبَهُ وَ لَا يَسْتَحِيَنَّ أَحَدٌ مِنْكُمْ إِذَا سُئِلَ عَمَّا لَا يَعْلَمُ أَنْ يَقُولَ لَا أَعْلَمُ وَ لَا يَسْتَحِيَنَّ أَحَدٌ إِذَا لَمْ يَعْلَمِ الشَّيْ‏ءَ أَنْ يَتَعَلَّمَهُ وَ عَلَيْكُمْ بِالصَّبْرِ فَإِنَّ الصَّبْرَ مِنَ الْإِيمَانِ كَالرَّأْسِ مِنَ الْجَسَدِ وَ لَا خَيْرَ فِى جَسَدٍ لَا رَأْسَ مَعَهُ وَ لَا فِى إِيمَانٍ لَا صَبْرَ مَعَهُ .,حکمت
83,وَ قَالَ [عليه السلام] لِرَجُلٍ أَفْرَطَ فِى الثَّنَاءِ عَلَيْهِ وَ كَانَ لَهُ مُتَّهِماً أَنَا دُونَ مَا تَقُولُ وَ فَوْقَ مَا فِى نَفْسِكَ .,حکمت
84,وَ قَالَ [عليه السلام] بَقِيَّةُ السَّيْفِ أَبْقَى عَدَداً وَ أَكْثَرُ وَلَداً .,حکمت
85,وَ قَالَ [عليه السلام] مَنْ تَرَكَ قَوْلَ لَا أَدْرِى أُصِيبَتْ مَقَاتِلُهُ .,حکمت
86,وَ قَالَ [عليه السلام] رَأْيُ الشَّيْخِ أَحَبُّ إِلَيَّ مِنْ جَلَدِ الْغُلَامِ وَ رُوِيَ مِنْ مَشْهَدِ الْغُلَامِ .,حکمت
87,وَ قَالَ [عليه السلام] عَجِبْتُ لِمَنْ يَقْنَطُ وَ مَعَهُ الِاسْتِغْفَارُ .,حکمت
88,"وَ حَكَى عَنْهُ أَبُو جَعْفَرٍ مُحَمَّدُ بْنُ عَلِيٍّ الْبَاقِرُ [عليه السلام] أَنَّهُ
قَالَ كَانَ فِى الْأَرْضِ أَمَانَانِ مِنْ عَذَابِ اللَّهِ وَ قَدْ رُفِعَ أَحَدُهُمَا فَدُونَكُمُ الْآخَرَ فَتَمَسَّكُوا بِهِ أَمَّا الْأَمَانُ الَّذِى رُفِعَ فَهُوَ رَسُولُ اللَّهِ (ص) وَ أَمَّا الْأَمَانُ الْبَاقِى فَالِاسْتِغْفَارُ قَالَ اللَّهُ تَعَالَى وَ ما كانَ اللَّهُ لِيُعَذِّبَهُمْ وَ أَنْتَ فِيهِمْ وَ ما كانَ اللَّهُ مُعَذِّبَهُمْ وَ هُمْ يَسْتَغْفِرُونَ .
قال الرضى و هذا من محاسن الاستخراج و لطائف الاستنباط .",حکمت
89,وَ قَالَ [عليه السلام] مَنْ أَصْلَحَ مَا بَيْنَهُ وَ بَيْنَ اللَّهِ أَصْلَحَ اللَّهُ مَا بَيْنَهُ وَ بَيْنَ النَّاسِ وَ مَنْ أَصْلَحَ أَمْرَ آخِرَتِهِ أَصْلَحَ اللَّهُ لَهُ أَمْرَ دُنْيَاهُ وَ مَنْ كَانَ لَهُ مِنْ نَفْسِهِ وَاعِظٌ كَانَ عَلَيْهِ مِنَ اللَّهِ حَافِظٌ .,حکمت
90,وَ قَالَ [عليه السلام] الْفَقِيهُ كُلُّ الْفَقِيهِ مَنْ لَمْ يُقَنِّطِ النَّاسَ مِنْ رَحْمَةِ اللَّهِ وَ لَمْ يُؤْيِسْهُمْ مِنْ رَوْحِ اللَّهِ وَ لَمْ يُؤْمِنْهُمْ مِنْ مَكْرِ اللَّهِ .,حکمت
91,وَ قَالَ [عليه السلام] إِنَّ هَذِهِ الْقُلُوبَ تَمَلُّ كَمَا تَمَلُّ الْأَبْدَانُ فَابْتَغُوا لَهَا طَرَائِفَ الْحِكَمِ .,حکمت
92,وَ قَالَ [عليه السلام] أَوْضَعُ الْعِلْمِ مَا وُقِفَ عَلَى اللِّسَانِ وَ أَرْفَعُهُ مَا ظَهَرَ فِى الْجَوَارِحِ وَ الْأَرْكَانِ .,حکمت
93,"وَ قَالَ [عليه السلام] لَا يَقُولَنَّ أَحَدُكُمْ اللَّهُمَّ إِنِّى أَعُوذُ بِكَ مِنَ الْفِتْنَةِ لِأَنَّهُ لَيْسَ أَحَدٌ إِلَّا وَ هُوَ مُشْتَمِلٌ عَلَى فِتْنَةٍ وَ لَكِنْ مَنِ اسْتَعَاذَ فَلْيَسْتَعِذْ مِنْ مُضِلَّاتِ الْفِتَنِ فَإِنَّ اللَّهَ سُبْحَانَهُ يَقُولُ وَ اعْلَمُوا أَنَّما أَمْوالُكُمْ وَ أَوْلادُكُمْ فِتْنَةٌ وَ مَعْنَى ذَلِكَ أَنَّهُ يَخْتَبِرُهُمْ بِالْأَمْوَالِ وَ الْأَوْلَادِ لِيَتَبَيَّنَ السَّاخِطَ لِرِزْقِهِ وَ الرَّاضِيَ بِقِسْمِهِ وَ إِنْ كَانَ سُبْحَانَهُ أَعْلَمَ بِهِمْ مِنْ أَنْفُسِهِمْ وَ لَكِنْ لِتَظْهَرَ الْأَفْعَالُ الَّتِى بِهَا يُسْتَحَقُّ الثَّوَابُ وَ الْعِقَابُ لِأَنَّ بَعْضَهُمْ يُحِبُّ الذُّكُورَ وَ يَكْرَهُ الْإِنَاثَ وَ بَعْضَهُمْ يُحِبُّ تَثْمِيرَ الْمَالِ وَ يَكْرَهُ انْثِلَامَ الْحَالِ .
قال الرضى و هذا من غريب ما سمع منه فى التفسير",حکمت
94,وَ قَالَ [عليه السلام] : وَ سُئِلَ عَنِ الْخَيْرِ مَا هُوَ فَقَالَ لَيْسَ الْخَيْرُ أَنْ يَكْثُرَ مَالُكَ وَ وَلَدُكَ وَ لَكِنَّ الْخَيْرَ أَنْ يَكْثُرَ عِلْمُكَ وَ أَنْ يَعْظُمَ حِلْمُكَ وَ أَنْ تُبَاهِيَ النَّاسَ بِعِبَادَةِ رَبِّكَ فَإِنْ أَحْسَنْتَ حَمِدْتَ اللَّهَ وَ إِنْ أَسَأْتَ اسْتَغْفَرْتَ اللَّهَ وَ لَا خَيْرَ فِى الدُّنْيَا إِلَّا لِرَجُلَيْنِ رَجُلٍ أَذْنَبَ ذُنُوباً فَهُوَ يَتَدَارَكُهَا بِالتَّوْبَةِ وَ رَجُلٍ يُسَارِعُ فِى الْخَيْرَاتِ .,حکمت
95,وَ قَالَ [عليه السلام] لَا يَقِلُّ عَمَلٌ مَعَ التَّقْوَى وَ كَيْفَ يَقِلُّ مَا يُتَقَبَّلُ,حکمت
96,وَ قَالَ [عليه السلام] إِنَّ أَوْلَى النَّاسِ بِالْأَنْبِيَاءِ أَعْلَمُهُمْ بِمَا جَاءُوا بِهِ ثُمَّ تَلَا إِنَّ أَوْلَى النَّاسِ بِإِبْراهِيمَ لَلَّذِينَ اتَّبَعُوهُ وَ هذَا النَّبِيُّ وَ الَّذِينَ آمَنُوا الْآيَةَ  ثُمَّ قَالَ إِنَّ وَلِيَّ مُحَمَّدٍ مَنْ أَطَاعَ اللَّهَ وَ إِنْ بَعُدَتْ لُحْمَتُهُ وَ إِنَّ عَدُوَّ مُحَمَّدٍ مَنْ عَصَى اللَّهَ وَ إِنْ قَرُبَتْ قَرَابَتُهُ .,حکمت
97,وَ سَمِعَ [عليه السلام] رَجُلًا مِنَ الْحَرُورِيَّةِ يَتَهَجَّدُ وَ يَقْرَأُ فَقَالَ نَوْمٌ عَلَى يَقِينٍ خَيْرٌ مِنْ صَلَاةٍ فِى شَكٍّ .,حکمت
98,وَ قَالَ [عليه السلام] اعْقِلُوا الْخَبَرَ إِذَا سَمِعْتُمُوهُ عَقْلَ رِعَايَةٍ لَا عَقْلَ رِوَايَةٍ فَإِنَّ رُوَاةَ الْعِلْمِ كَثِيرٌ وَ رُعَاتَهُ قَلِيلٌ .,حکمت
99,وَ سَمِعَ رَجُلًا يَقُولُ إِنَّا لِلَّهِ وَ إِنَّا إِلَيْهِ راجِعُونَ فَقَالَ إِنَّ قَوْلَنَا إِنَّا لِلَّهِ إِقْرَارٌ عَلَى أَنْفُسِنَا بِالْمُلْكِ وَ قَوْلَنَا وَ إِنَّا إِلَيْهِ راجِعُونَ إِقْرَارٌ عَلَى أَنْفُسِنَا بِالْهُلْكِ .,حکمت
100,وَ قَالَ [عليه السلام] وَ مَدَحَهُ قَوْمٌ فِى وَجْهِهِ فَقَالَ اللَّهُمَّ إِنَّكَ أَعْلَمُ بِى مِنْ نَفْسِى وَ أَنَا أَعْلَمُ بِنَفْسِى مِنْهُمْ اللَّهُمَّ اجْعَلْنَا خَيْراً مِمَّا يَظُنُّونَ وَ اغْفِرْ لَنَا مَا لَا يَعْلَمُونَ .,حکمت
101,وَ قَالَ [عليه السلام] لَا يَسْتَقِيمُ قَضَاءُ الْحَوَائِجِ إِلَّا بِثَلَاثٍ بِاسْتِصْغَارِهَا لِتَعْظُمَ وَ بِاسْتِكْتَامِهَا لِتَظْهَرَ وَ بِتَعْجِيلِهَا لِتَهْنُؤَ .,حکمت
102,وَ قَالَ [عليه السلام] يَأْتِى عَلَى النَّاسِ زَمَانٌ لَا يُقَرَّبُ فِيهِ إِلَّا الْمَاحِلُ وَ لَا يُظَرَّفُ فِيهِ إِلَّا الْفَاجِرُ وَ لَا يُضَعَّفُ فِيهِ إِلَّا الْمُنْصِفُ يَعُدُّونَ الصَّدَقَةَ فِيهِ غُرْماً وَ صِلَةَ الرَّحِمِ مَنّاً وَ الْعِبَادَةَ اسْتِطَالَةً عَلَى النَّاسِ فَعِنْدَ ذَلِكَ يَكُونُ السُّلْطَانُ بِمَشُورَةِ النِّسَاءِ وَ إِمَارَةِ الصِّبْيَانِ وَ تَدْبِيرِ الْخِصْيَانِ .,حکمت
103,"وَ رُئِيَ عَلَيْهِ إِزَارٌ خَلَقٌ مَرْقُوعٌ فَقِيلَ لَهُ فِى ذَلِكَ فَقَالَ :
يَخْشَعُ لَهُ الْقَلْبُ وَ تَذِلُّ بِهِ النَّفْسُ وَ يَقْتَدِى بِهِ الْمُؤْمِنُونَ إِنَّ الدُّنْيَا وَ الْآخِرَةَ عَدُوَّانِ مُتَفَاوِتَانِ وَ سَبِيلَانِ مُخْتَلِفَانِ فَمَنْ أَحَبَّ الدُّنْيَا وَ تَوَلَّاهَا أَبْغَضَ الْآخِرَةَ وَ عَادَاهَا وَ هُمَا بِمَنْزِلَةِ الْمَشْرِقِ وَ الْمَغْرِبِ وَ مَاشٍ بَيْنَهُمَا كُلَّمَا قَرُبَ مِنْ وَاحِدٍ بَعُدَ مِنَ الْآخَرِ وَ هُمَا بَعْدُ ضَرَّتَانِ .",حکمت
104,"وَ عَنْ نَوْفٍ الْبَكَالِيِّ  قَالَ رَأَيْتُ أَمِيرَ الْمُؤْمِنِينَ ع ذَاتَ لَيْلَةٍ وَ قَدْ خَرَجَ مِنْ فِرَاشِهِ فَنَظَرَ فِى النُّجُومِ فَقَالَ لِى يَا نَوْفُ أَ رَاقِدٌ أَنْتَ أَمْ رَامِقٌ فَقُلْتُ بَلْ رَامِقٌ فقَال:
يَا نَوْفُ طُوبَى لِلزَّاهِدِينَ فِى الدُّنْيَا الرَّاغِبِينَ فِى الْآخِرَةِ أُولَئِكَ قَوْمٌ اتَّخَذُوا الْأَرْضَ بِسَاطاً وَ تُرَابَهَا فِرَاشاً وَ مَاءَهَا طِيباً وَ الْقُرْآنَ شِعَاراً وَ الدُّعَاءَ دِثَاراً ثُمَّ قَرَضُوا الدُّنْيَا قَرْضاً عَلَى مِنْهَاجِ الْمَسِيحِ .
""2ـ مكاسب الاسحار""
يَا نَوْفُ إِنَّ دَاوُدَ ع قَامَ فِى مِثْلِ هَذِهِ السَّاعَةِ مِنَ اللَّيْلِ فَقَالَ إِنَّهَا لَسَاعَةٌ لَا يَدْعُو فِيهَا عَبْدٌ إِلَّا اسْتُجِيبَ لَهُ إِلَّا أَنْ يَكُونَ عَشَّاراً أَوْ عَرِيفاً أَوْ شُرْطِيّاً أَوْ صَاحِبَ عَرْطَبَةٍ وَ هِيَ الطُّنْبُورُأَوْ صَاحِبَ كَوْبَةٍ وَ هِيَ الطَّبْلُ وَ قَدْ قِيلَ أَيْضاً إِنَّ الْعَرْطَبَةَ الطَّبْلُ وَ الْكَوْبَةَ الطُّنْبُورُ .
"" وصف زاهدان """,حکمت
105,وَ قَالَ [عليه السلام] إِنَّ اللَّهَ افْتَرَضَ عَلَيْكُمْ فَرَائِضَ فَلَا تُضَيِّعُوهَا وَ حَدَّ لَكُمْ حُدُوداً فَلَا تَعْتَدُوهَا وَ نَهَاكُمْ عَنْ أَشْيَاءَ فَلَا تَنْتَهِكُوهَا وَ سَكَتَ لَكُمْ عَنْ أَشْيَاءَ وَ لَمْ يَدَعْهَا نِسْيَاناً فَلَا تَتَكَلَّفُوهَا .,حکمت
106,وَ قَالَ [عليه السلام] لَا يَتْرُكُ النَّاسُ شَيْئاً مِنْ أَمْرِ دِينِهِمْ لِاسْتِصْلَاحِ دُنْيَاهُمْ إِلَّا فَتَحَ اللَّهُ عَلَيْهِمْ مَا هُوَ أَضَرُّ مِنْهُ .,حکمت
107,وَ قَالَ [عليه السلام] رُبَّ عَالِمٍ قَدْ قَتَلَهُ جَهْلُهُ وَ عِلْمُهُ مَعَهُ لَا يَنْفَعُهُ .,حکمت
108,وَ قَالَ [عليه السلام] لَقَدْ عُلِّقَ بِنِيَاطِ هَذَا الْإِنْسَانِ بَضْعَةٌ هِيَ أَعْجَبُ مَا فِيهِ وَ ذَلِكَ الْقَلْبُ وَ ذَلِكَ أَنَّ لَهُ مَوَادَّ مِنَ الْحِكْمَةِ وَ أَضْدَاداً مِنْ خِلَافِهَا فَإِنْ سَنَحَ لَهُ الرَّجَاءُ أَذَلَّهُ الطَّمَعُ وَ إِنْ هَاجَ بِهِ الطَّمَعُ أَهْلَكَهُ الْحِرْصُ وَ إِنْ مَلَكَهُ الْيَأْسُ قَتَلَهُ الْأَسَفُ وَ إِنْ عَرَضَ لَهُ الْغَضَبُ اشْتَدَّ بِهِ الْغَيْظُ وَ إِنْ أَسْعَدَهُ الرِّضَى نَسِيَ التَّحَفُّظَ وَ إِنْ غَالَهُ الْخَوْفُ شَغَلَهُ الْحَذَرُ وَ إِنِ اتَّسَعَ لَهُ الْأَمْرُ اسْتَلَبَتْهُ الْغِرَّةُ وَ إِنْ أَفَادَ مَالًا أَطْغَاهُ الْغِنَى وَ إِنْ أَصَابَتْهُ مُصِيبَةٌ فَضَحَهُ الْجَزَعُ وَ إِنْ عَضَّتْهُ الْفَاقَةُ شَغَلَهُ الْبَلَاءُ وَ إِنْ جَهَدَهُ الْجُوعُ قَعَدَ بِهِ الضَّعْفُ وَ إِنْ أَفْرَطَ بِهِ الشِّبَعُ كَظَّتْهُ الْبِطْنَةُ فَكُلُّ تَقْصِيرٍ بِهِ مُضِرٌّ وَ كُلُّ إِفْرَاطٍ لَهُ مُفْسِدٌ .,حکمت
109,وَ قَالَ [عليه السلام] نَحْنُ النُّمْرُقَةُ الْوُسْطَى بِهَا يَلْحَقُ التَّالِى وَ إِلَيْهَا يَرْجِعُ الْغَالِى .,حکمت
110,وَ قَالَ [عليه السلام] لَا يُقِيمُ أَمْرَ اللَّهِ سُبْحَانَهُ إِلَّا مَنْ لَا يُصَانِعُ وَ لَا يُضَارِعُ وَ لَا يَتَّبِعُ الْمَطَامِعَ .,حکمت
111,"وَ قَالَ [عليه السلام] وَ قَدْ تُوُفِّيَ سَهْلُ بْنُ حُنَيْفٍ الْأَنْصَارِيُّ بِالْكُوفَةِ بَعْدَ مَرْجِعِهِ مَعَهُ مِنْ صِفِّينَ وَ كَانَ أَحَبَّ النَّاسِ إِلَيْهِ
لَوْ أَحَبَّنِى جَبَلٌ لَتَهَافَتَ معنى ذلك أن المحنة تغلظ عليه فتسرع المصائب إليه و لا يفعل ذلك إلا بالأتقياء الأبرار و المصطفين الأخيار و هذا مثل قوله [عليه السلام] .",حکمت
112,"مَنْ أَحَبَّنَا أَهْلَ الْبَيْتِ فَلْيَسْتَعِدَّ لِلْفَقْرِ جِلْبَاباً
و قد يؤول ذلك على معنى آخر ليس هذا موضع ذكره",حکمت
113,وَ قَالَ [عليه السلام] لَا مَالَ أَعْوَدُ مِنَ الْعَقْلِ وَ لَا وَحْدَةَ أَوْحَشُ مِنَ الْعُجْبِ وَ لَا عَقْلَ كَالتَّدْبِيرِ وَ لَا كَرَمَ كَالتَّقْوَى وَ لَا قَرِينَ كَحُسْنِ الْخُلُقِ وَ لَا مِيرَاثَ كَالْأَدَبِ وَ لَا قَائِدَ كَالتَّوْفِيقِ وَ لَا تِجَارَةَ كَالْعَمَلِ الصَّالِحِ وَ لَا رِبْحَ كَالثَّوَابِ وَ لَا وَرَعَ كَالْوُقُوفِ عِنْدَ الشُّبْهَةِ وَ لَا زُهْدَ كَالزُّهْدِ فِى الْحَرَامِ وَ لَا عِلْمَ كَالتَّفَكُّرِ وَ لَا عِبَادَةَ كَأَدَاءِ الْفَرَائِضِ وَ لَا إِيمَانَ كَالْحَيَاءِ وَ الصَّبْرِ وَ لَا حَسَبَ كَالتَّوَاضُعِ وَ لَا شَرَفَ كَالْعِلْمِ وَ لَا عِزَّ كَالْحِلْمِ وَ لَا مُظَاهَرَةَ أَوْثَقُ مِنَ الْمُشَاوَرَةِ .,حکمت
114,وَ قَالَ [عليه السلام] إِذَا اسْتَوْلَى الصَّلَاحُ عَلَى الزَّمَانِ وَ أَهْلِهِ ثُمَّ أَسَاءَ رَجُلٌ الظَّنَّ بِرَجُلٍ لَمْ تَظْهَرْ مِنْهُ حَوْبَةٌ فَقَدْ ظَلَمَ وَ إِذَا اسْتَوْلَى الْفَسَادُ عَلَى الزَّمَانِ وَ أَهْلِهِ فَأَحْسَنَ رَجُلٌ الظَّنَّ بِرَجُلٍ فَقَدْ غَرَّرَ .,حکمت
115,وَ قِيلَ لَهُ [عليه السلام] كَيْفَ نَجِدُكَ يَا أَمِيرَ الْمُؤْمِنِينَ فَقَالَ ع كَيْفَ يَكُونُ حَالُ مَنْ يَفْنَى بِبَقَائِهِ وَ يَسْقَمُ بِصِحَّتِهِ وَ يُؤْتَى مِنْ مَأْمَنِهِ .,حکمت
116,وَ قَالَ [عليه السلام] كَمْ مِنْ مُسْتَدْرَجٍ بِالْإِحْسَانِ إِلَيْهِ وَ مَغْرُورٍ بِالسَّتْرِ عَلَيْهِ وَ مَفْتُونٍ بِحُسْنِ الْقَوْلِ فِيهِ وَ مَا ابْتَلَى اللَّهُ أَحَداً بِمِثْلِ الْإِمْلَاءِ لَهُ .,حکمت
117,وَ قَالَ [عليه السلام] هَلَكَ فِيَّ رَجُلَانِ مُحِبٌّ غَالٍ وَ مُبْغِضٌ قَالٍ .,حکمت
118,وَ قَالَ [عليه السلام] إِضَاعَةُ الْفُرْصَةِ غُصَّةٌ .,حکمت
119,وَ قَالَ [عليه السلام] مَثَلُ الدُّنْيَا كَمَثَلِ الْحَيَّةِ لَيِّنٌ مَسُّهَا وَ السَّمُّ النَّاقِعُ فِى جَوْفِهَا يَهْوِى إِلَيْهَا الْغِرُّ الْجَاهِلُ وَ يَحْذَرُهَا ذُو اللُّبِّ الْعَاقِلُ .,حکمت
120,وَ سُئِلَ [عليه السلام] عَنْ قُرَيْشٍ فَقَالَ أَمَّا بَنُو مَخْزُومٍ فَرَيْحَانَةُ قُرَيْشٍ نُحِبُّ حَدِيثَ رِجَالِهِمْ وَ النِّكَاحَ فِى نِسَائِهِمْ وَ أَمَّا بَنُو عَبْدِ شَمْسٍ فَأَبْعَدُهَا رَأْياً وَ أَمْنَعُهَا لِمَا وَرَاءَ ظُهُورِهَا وَ أَمَّا نَحْنُ فَأَبْذَلُ لِمَا فِى أَيْدِينَا وَ أَسْمَحُ عِنْدَ الْمَوْتِ بِنُفُوسِنَا وَ هُمْ أَكْثَرُ وَ أَمْكَرُ وَ أَنْكَرُ وَ نَحْنُ أَفْصَحُ وَ أَنْصَحُ وَ أَصْبَحُ .,حکمت
121,وَ قَالَ [عليه السلام] شَتَّانَ مَا بَيْنَ عَمَلَيْنِ عَمَلٍ تَذْهَبُ لَذَّتُهُ وَ تَبْقَى تَبِعَتُهُ وَ عَمَلٍ تَذْهَبُ مَئُونَتُهُ وَ يَبْقَى أَجْرُهُ,حکمت
122,وَ تَبِعَ جِنَازَةً فَسَمِعَ رَجُلًا يَضْحَكُ فَقَالَ كَأَنَّ الْمَوْتَ فِيهَا عَلَى غَيْرِنَا كُتِبَ وَ كَأَنَّ الْحَقَّ فِيهَا عَلَى غَيْرِنَا وَجَبَ وَ كَأَنَّ الَّذِى نَرَى مِنَ الْأَمْوَاتِ سَفْرٌ عَمَّا قَلِيلٍ إِلَيْنَا رَاجِعُونَ نُبَوِّئُهُمْ أَجْدَاثَهُمْ وَ نَأْكُلُ تُرَاثَهُمْ كَأَنَّا مُخَلَّدُونَ بَعْدَهُمْ ثُمَّ قَدْ نَسِينَا كُلَّ وَاعِظٍ وَ وَاعِظَةٍ وَ رُمِينَا بِكُلِّ فَادِحٍ وَ جَائِحَةٍ .,حکمت
123,"وَ قَالَ [عليه السلام] طُوبَى لِمَنْ ذَلَّ فِى نَفْسِهِ وَ طَابَ كَسْبُهُ وَ صَلَحَتْ سَرِيرَتُهُ وَ حَسُنَتْ خَلِيقَتُهُ وَ أَنْفَقَ الْفَضْلَ مِنْ مَالِهِ وَ أَمْسَكَ الْفَضْلَ مِنْ لِسَانِهِ وَ عَزَلَ عَنِ النَّاسِ شَرَّهُ وَ وَسِعَتْهُ السُّنَّةُ وَ لَمْ يُنْسَبْ إلَى الْبِدْعَةِ .
قال الرضى أقول و من الناس من ينسب هذا الكلام إلى رسول الله ص و كذلك الذى قبله .",حکمت
124,وَ قَالَ [عليه السلام] غَيْرَةُ الْمَرْأَةِ كُفْرٌ وَ غَيْرَةُ الرَّجُلِ إِيمَانٌ .,حکمت
125,وَ قَالَ [عليه السلام] لَأَنْسُبَنَّ الْإِسْلَامَ نِسْبَةً لَمْ يَنْسُبْهَا أَحَدٌ قَبْلِى الْإِسْلَامُ هُوَ التَّسْلِيمُ وَ التَّسْلِيمُ هُوَ الْيَقِينُ وَ الْيَقِينُ هُوَ التَّصْدِيقُ وَ التَّصْدِيقُ هُوَ الْإِقْرَارُ وَ الْإِقْرَارُ هُوَ الْأَدَاءُ وَ الْأَدَاءُ هُوَ الْعَمَلُ .,حکمت
126,وَ قَالَ [عليه السلام] عَجِبْتُ لِلْبَخِيلِ يَسْتَعْجِلُ الْفَقْرَ الَّذِى مِنْهُ هَرَبَ وَ يَفُوتُهُ الْغِنَى الَّذِى إِيَّاهُ طَلَبَ فَيَعِيشُ فِى الدُّنْيَا عَيْشَ الْفُقَرَاءِ وَ يُحَاسَبُ فِى الْآخِرَةِ حِسَابَ الْأَغْنِيَاءِ وَ عَجِبْتُ لِلْمُتَكَبِّرِ الَّذِى كَانَ بِالْأَمْسِ نُطْفَةً وَ يَكُونُ غَداً جِيفَةً وَ عَجِبْتُ لِمَنْ شَكَّ فِى اللَّهِ وَ هُوَ يَرَى خَلْقَ اللَّهِ وَ عَجِبْتُ لِمَنْ نَسِيَ الْمَوْتَ وَ هُوَ يَرَى الْمَوْتَى وَ عَجِبْتُ لِمَنْ أَنْكَرَ النَّشْأَةَ الْأُخْرَى وَ هُوَ يَرَى النَّشْأَةَ الْأُولَى وَ عَجِبْتُ لِعَامِرٍ دَارَ الْفَنَاءِ وَ تَارِكٍ دَارَ الْبَقَاءِ .,حکمت
127,وَ قَالَ [عليه السلام] مَنْ قَصَّرَ فِى الْعَمَلِ ابْتُلِيَ بِالْهَمِّ وَ لَا حَاجَةَ لِلَّهِ فِيمَنْ لَيْسَ لِلَّهِ فِى مَالِهِ وَ نَفْسِهِ نَصِيبٌ .,حکمت
128,وَ قَالَ [عليه السلام] تَوَقَّوُا الْبَرْدَ فِى أَوَّلِهِ وَ تَلَقَّوْهُ فِى آخِرِهِ فَإِنَّهُ يَفْعَلُ فِى الْأَبْدَانِ كَفِعْلِهِ فِى الْأَشْجَارِ أَوَّلُهُ يُحْرِقُ وَ آخِرُهُ يُورِقُ .,حکمت
129,وَ قَالَ [عليه السلام] عِظَمُ الْخَالِقِ عِنْدَكَ يُصَغِّرُ الْمَخْلُوقَ فِى عَيْنِكَ .,حکمت
130,وَ قَالَ [عليه السلام] وَ قَدْ رَجَعَ مِنْ صِفِّينَ فَأَشْرَفَ عَلَى الْقُبُورِ بِظَاهِرِ الْكُوفَةِ يَا أَهْلَ الدِّيَارِ الْمُوحِشَةِ وَ الْمَحَالِّ الْمُقْفِرَةِ وَ الْقُبُورِ الْمُظْلِمَةِ يَا أَهْلَ التُّرْبَةِ يَا أَهْلَ الْغُرْبَةِ يَا أَهْلَ الْوَحْدَةِ يَا أَهْلَ الْوَحْشَةِ أَنْتُمْ لَنَا فَرَطٌ سَابِقٌ وَ نَحْنُ لَكُمْ تَبَعٌ لَاحِقٌ أَمَّا الدُّورُ فَقَدْ سُكِنَتْ وَ أَمَّا الْأَزْوَاجُ فَقَدْ نُكِحَتْ وَ أَمَّا الْأَمْوَالُ فَقَدْ قُسِمَتْ هَذَا خَبَرُ مَا عِنْدَنَا فَمَا خَبَرُ مَا عِنْدَكُمْ ثُمَّ الْتَفَتَ إِلَى أَصْحَابِهِ فَقَالَ أَمَا لَوْ أُذِنَ لَهُمْ فِى الْكَلَامِ لَأَخْبَرُوكُمْ أَنَّ خَيْرَ الزَّادِ التَّقْوَى .,حکمت
